기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20181201,1,11500 ,576025 ,22345 ,10158 ,13436 ,15378 ,21328 ,24723 ,27846 ,22949 ,22406 ,17827 ,19556 ,16312 ,12972 ,24504 ,22352 ,10063 ,13145 ,18127 ,24367 ,26482 ,26895 ,22609 ,21164 ,19330 ,23439 ,21114 ,16086 ,39112 
20181201,1,11530 ,403900 ,15388 ,6912 ,8774 ,11287 ,14402 ,16715 ,19066 ,17957 ,17062 ,14088 ,14687 ,12705 ,9519 ,18006 ,14445 ,6282 ,8816 ,12377 ,15357 ,16591 ,17572 ,15712 ,16075 ,14359 ,16887 ,15147 ,11722 ,25990 
20181201,1,11545 ,208376 ,5939 ,2877 ,3973 ,6378 ,9479 ,10159 ,10179 ,8782 ,8993 ,8062 ,8507 ,7008 ,4969 ,8991 ,5861 ,2986 ,3950 ,6256 ,8587 ,8509 ,8432 ,7464 ,8015 ,7737 ,9030 ,8150 ,6130 ,12973 
20181201,1,11560 ,423483 ,12948 ,5809 ,8262 ,11999 ,18366 ,20283 ,21140 ,18151 ,18557 ,15572 ,15391 ,13126 ,9325 ,18704 ,12974 ,5406 ,7639 ,14199 ,19910 ,20113 ,18776 ,15538 ,15268 ,14719 ,16414 ,14620 ,11026 ,29248 
20181201,1,11590 ,438477 ,13890 ,6532 ,10449 ,20297 ,22920 ,18659 ,17582 ,15803 ,15506 ,12804 ,13303 ,11867 ,8955 ,20309 ,14415 ,6553 ,10314 ,21574 ,20278 ,17949 ,17320 ,15307 ,15086 ,14279 ,17002 ,15359 ,12139 ,32026 
20181201,1,11620 ,552256 ,13711 ,6668 ,11799 ,25878 ,38484 ,30730 ,25030 ,20713 ,19890 ,15275 ,15505 ,13219 ,11178 ,22621 ,13616 ,6552 ,11598 ,29793 ,34864 ,25917 ,21656 ,17771 ,17655 ,16467 ,19388 ,17375 ,14784 ,34116 
20181201,1,11650 ,514942 ,17143 ,9634 ,12907 ,15837 ,19119 ,19856 ,22865 ,22619 ,24663 ,18029 ,16212 ,13999 ,10962 ,22280 ,18236 ,10316 ,13769 ,17294 ,20279 ,20772 ,23580 ,22308 ,22409 ,17040 ,17677 ,17302 ,13927 ,33907 
20181201,1,11680 ,681217 ,20174 ,13024 ,19544 ,20642 ,27338 ,29449 ,33409 ,31544 ,33224 ,24288 ,20433 ,16773 ,13372 ,27434 ,20245 ,12765 ,18913 ,24367 ,30961 ,30698 ,31350 ,29154 ,29951 ,21676 ,21673 ,20969 ,17160 ,40688 
20181201,1,11710 ,755025 ,28670 ,14737 ,20305 ,21264 ,25380 ,29281 ,33777 ,30663 ,30645 ,26075 ,26264 ,22507 ,17218 ,29761 ,28561 ,14861 ,18944 ,22263 ,29267 ,32708 ,35051 ,29861 ,31460 ,28128 ,31173 ,28696 ,20709 ,46796 
20181201,1,11740 ,514668 ,20776 ,11046 ,14895 ,14269 ,16561 ,17112 ,21003 ,19260 ,21132 ,17974 ,19562 ,16543 ,12575 ,22859 ,18536 ,9648 ,12756 ,15014 ,17194 ,18550 ,21514 ,19932 ,21824 ,19919 ,23328 ,20990 ,15465 ,34431 
20181201,2,11110 ,232102 ,4912 ,2931 ,5703 ,11129 ,10937 ,8759 ,9051 ,8508 ,10185 ,8408 ,8728 ,7104 ,4852 ,11482 ,4835 ,2904 ,6289 ,11824 ,9583 ,8011 ,8578 ,7985 ,9861 ,8327 ,8844 ,7952 ,6060 ,18359 
20181201,2,11140 ,192254 ,3891 ,1621 ,3198 ,8186 ,9004 ,10105 ,10649 ,8436 ,8805 ,7079 ,7045 ,5675 ,4027 ,7537 ,3916 ,1653 ,3272 ,8540 ,9283 ,9443 ,8923 ,7329 ,7447 ,6321 ,7127 ,6385 ,4608 ,12751 
20181201,2,11170 ,272106 ,6747 ,3372 ,5626 ,9811 ,12934 ,13650 ,13645 ,11422 ,11592 ,8820 ,8809 ,6888 ,5105 ,11484 ,7437 ,3620 ,5753 ,11700 ,14272 ,13331 ,12615 ,10828 ,10392 ,8264 ,9163 ,8588 ,6481 ,19756 
20181201,2,11200 ,339752 ,11991 ,5273 ,7559 ,13381 ,14719 ,13920 ,15629 ,13475 ,13722 ,11433 ,12052 ,9622 ,6830 ,13576 ,11194 ,5021 ,7557 ,14222 ,14377 ,15257 ,15304 ,12381 ,13033 ,11443 ,13062 ,11760 ,8661 ,23297 
20181201,2,11215 ,402393 ,12315 ,6664 ,10963 ,18273 ,19048 ,16917 ,16116 ,14281 ,15662 ,13409 ,13916 ,10754 ,7290 ,15332 ,11541 ,6420 ,10664 ,20864 ,19741 ,17729 ,16840 ,14814 ,15720 ,14727 ,15511 ,13501 ,9445 ,23937 
20181201,2,11230 ,377468 ,11464 ,5737 ,9306 ,19201 ,17032 ,13501 ,14490 ,14083 ,13989 ,12083 ,12760 ,11103 ,8218 ,18376 ,10341 ,5122 ,10488 ,22564 ,15239 ,13428 ,14100 ,12337 ,13428 ,12299 ,14116 ,12875 ,9684 ,30104 
20181201,2,11260 ,397762 ,13872 ,6746 ,9537 ,13085 ,13592 ,14204 ,16809 ,14199 ,15492 ,14352 ,15444 ,12613 ,9502 ,18810 ,13165 ,6315 ,9051 ,12867 ,14662 ,14888 ,15936 ,13529 ,16013 ,16173 ,18589 ,15441 ,11670 ,31205 
20181201,2,11290 ,462949 ,17379 ,9801 ,13167 ,19477 ,17391 ,13823 ,16382 ,16599 ,18820 ,14388 ,15146 ,12957 ,9661 ,20972 ,15843 ,8725 ,14275 ,24601 ,16772 ,15295 ,17463 ,17248 ,18599 ,16046 ,17455 ,15876 ,12226 ,36562 
20181201,2,11305 ,335265 ,10743 ,5902 ,8340 ,11155 ,11245 ,10582 ,12138 ,12153 ,13043 ,11235 ,11867 ,10099 ,7975 ,18812 ,9799 ,5363 ,8216 ,13503 ,11577 ,10355 ,11586 ,11948 ,13851 ,12944 ,14857 ,12830 ,11270 ,31878 
20181201,2,11320 ,318961 ,11517 ,6405 ,8175 ,9398 ,9518 ,9768 ,11195 ,11090 ,12301 ,11109 ,12203 ,10840 ,7967 ,16889 ,10395 ,5858 ,7891 ,10471 ,10194 ,10353 ,11774 ,11126 ,13845 ,12690 ,14829 ,13586 ,9721 ,27851 
20181201,2,11350 ,562459 ,19979 ,13264 ,20113 ,22435 ,17767 ,15328 ,18443 ,19293 ,23256 ,19919 ,19882 ,16721 ,12345 ,23844 ,19351 ,12660 ,18514 ,22010 ,17135 ,16916 ,20207 ,21616 ,26001 ,22091 ,23821 ,20816 ,15170 ,43562 
20181201,2,11380 ,492696 ,18399 ,10250 ,13775 ,13718 ,15406 ,15793 ,19940 ,18591 ,19846 ,16666 ,16769 ,14218 ,10651 ,24052 ,16578 ,9043 ,13211 ,15679 ,17389 ,17627 ,20192 ,19372 ,21435 ,18416 ,21260 ,18738 ,14746 ,40934 
20181201,2,11410 ,378040 ,11781 ,5942 ,9268 ,16409 ,16338 ,12789 ,14152 ,13802 ,14947 ,11940 ,12247 ,9821 ,7055 ,17081 ,11340 ,5897 ,11151 ,24538 ,17564 ,14552 ,14382 ,13763 ,14574 ,12912 ,14141 ,12173 ,9437 ,28047 
20181201,2,11440 ,456885 ,13446 ,6695 ,11360 ,20275 ,22180 ,19794 ,21374 ,18661 ,18349 ,13337 ,13238 ,10380 ,7237 ,16591 ,13604 ,6760 ,12100 ,26778 ,25259 ,22515 ,21480 ,18775 ,17539 ,14065 ,14928 ,12527 ,9500 ,28139 
20181201,2,11470 ,425654 ,16978 ,11829 ,14419 ,12017 ,11846 ,12934 ,15755 ,16751 ,19460 ,16305 ,15331 ,12397 ,9570 ,16767 ,15788 ,10763 ,13226 ,12355 ,13561 ,14030 ,16839 ,18258 ,20414 ,16971 ,17128 ,14974 ,11665 ,27319 
20181201,2,11500 ,577483 ,22395 ,10168 ,13523 ,15550 ,21429 ,24870 ,27955 ,23036 ,22360 ,17885 ,19542 ,16388 ,13052 ,24579 ,22331 ,10077 ,13136 ,18237 ,24566 ,26548 ,26969 ,22684 ,21187 ,19387 ,23399 ,21155 ,16103 ,38969 
20181201,2,11530 ,403199 ,15339 ,6888 ,8806 ,11293 ,14372 ,16736 ,19040 ,17905 ,17111 ,14001 ,14558 ,12690 ,9512 ,17886 ,14436 ,6270 ,8793 ,12440 ,15329 ,16738 ,17574 ,15694 ,15974 ,14267 ,16865 ,15090 ,11724 ,25870 
20181201,2,11545 ,208874 ,5993 ,2897 ,3983 ,6395 ,9577 ,10080 ,10221 ,8795 ,8957 ,8059 ,8545 ,7002 ,5027 ,9030 ,5818 ,2960 ,3969 ,6313 ,8620 ,8580 ,8476 ,7431 ,8010 ,7759 ,9051 ,8151 ,6163 ,13015 
20181201,2,11560 ,420768 ,12849 ,5765 ,8330 ,11954 ,18229 ,20082 ,20869 ,17857 ,18381 ,15418 ,15263 ,12954 ,9316 ,18646 ,12946 ,5396 ,7604 ,14187 ,19831 ,19962 ,18556 ,15405 ,15122 ,14764 ,16349 ,14564 ,10984 ,29184 
